URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DESCRIPTION,LEVEL,ISVALID?
http://open.umich.edu/education/dent/dental-materials/2008,Cariology; Restorative Sciences; and Endodontics (CRSE) Materials | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;alloys;amalgam;bonding systems;combination;complete;dental cement;dental ceramics;dental porcelain;dental waxes;dentistry;denture;denture alloys;dentures;glass ionomers;gold casting alloys;impression materials;impressions;operative dentistry;partial;prosthodontics;removable;removable partial dentures;rpd;waxing,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
http://open.umich.edu/education/soe/educ403/winter2008,EDUC 403 - Individualized Reading Instruction in the Elementary Grades | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;composition;education;elementary education;elementary school instruction;fluency;individualized instruction;literacy education;literacy instruction;reading;reading assessment;reading comprehension;text-based discussion;vocabulary;writing instruction,education;opencourseware;ocw;,EDUC 403 - Individualized Reading Instruction in the Elementary Grades,University of Michigan; Ann Arbor,Free, 3 hour lecture and one discussion class weekly,No, Annemarie Sullivan Palinscar,This course explores techniques for assessment of reading and writing skills and for development of individualized instruction in classroom settings; develops strategies for meeting the needs of individual students through the evaluation; utilization; and adaptation of commercial reading materials and through the formation of principles and techniq, Undergraduate,1
http://open.umich.edu/education/engin/engr110/2008,ENGR 110 - The Engineering Profession | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;engineering;engineering fields;engineering job opportunities;engineering profession,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
http://open.umich.edu/education/engin/engr407/2009,ENGR 407 - Entrepreneurship Hour | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;emerging business models;engineering;entrepreneurship,education;opencourseware;ocw;,ENGR 407 - Entrepreneurship Hour,University of Michigan; Ann Arbor,Free,N/A,No, Doug Neal,This seminar series is designed to expose students to entrepreneurship through interaction with experienced entrepreneurs; business leaders; and venture capitalists as well as individuals involved in emerging business models; new venture creation; and technology commercialization., Undergraduate,1
http://open.umich.edu/education/si/coursera-ihts/summer2012,SI / Coursera - Internet History; Technology; and Security | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;history;information;networks;society;technology,education;opencourseware;ocw;,SI / Coursera - Internet History; Technology; and Security,N/A,N/A,N/A,N/A, Charles Severance,The impact of technology and networks on our lives; culture; and society continues to increase. The very fact that you can take this course from anywhere in the world requires a technological infrastructure that was designed; engineered; and built over the past sixty years., Undergraduate,1
http://open.umich.edu/education/si/coursera-social-network-analysis/2012,SI / Coursera - Social Network Analysis | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;information;networks;society,education;opencourseware;ocw;,SI / Coursera - Social Network Analysis,University of Michigan; Ann Arbor,Free,N/A,No, Lada Adamic,Everything is connected: people; information; events and places; all the more so with the advent of online social media. A practical way of making sense of the tangle of connections is to analyze them as networks., Graduate,1
http://open.umich.edu/education/law/household-politics-conflict-early-modern-england/2012,Household Politics: Conflict in Early Modern England | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;early modern England;household politics;open textbooks;politics,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
http://open.umich.edu/education/med/m2/cardio,Cardiovascular | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;arrhythmias;captions;cardiac electrophysiology;cardiac muscle;cardiac valves;cardiovascular;cardiovascular disease;circulatory system;coronary arteries;EKG;heart disease;medicine;Open Educational Resource;pericardium;peripheral vasculature;stroke;videos,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
http://open.umich.edu/education/med/familymed/integrative/asthma-mod/2013,Asthma | Open.Michigan,Asthma is a common disorder treated in all primary care settings. There are a number of integrative therapies that can augment conventional medications and help to improve quality of life in asthma sufferers. This module will review the most common integrative treatment strategies for asthma.  View Asthma Module,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;asthma;family medicine;integrative medicine;module;treatment,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
http://open.umich.edu/education/mtd/coursera-classical-music/summer2013,Music / Coursera - Introduction to Classical Music | Open.Michigan,About the Course This course will focus on Western classical music of the eighteenth and nineteenth centuries; it is designed for people who are passionate about classical music but who have not necessarily had any advanced training or taken any college-level music courses.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;classical music;Coursera;Music;Western classical music,education;opencourseware;ocw;,Music / Coursera - Introduction to Classical Music,University of Michigan; Ann Arbor,Free, 8 weeks,No, Kevin Korsyn,About the Course This course will focus on Western classical music of the eighteenth and nineteenth centuries; it is designed for people who are passionate about classical music but who have not necessarily had any advanced training or taken any college-level music courses., Undergraduate,1
